pow_delta,pow_theta,pow_alpha,pow_sigma,pow_beta,stage
-96.79070378281908,-98.45067791827324,-99.48009471513917,-100.03217390630404,-103.68565542761804,0
-95.5523756228848,-104.19921692256811,-110.55792774793146,-111.2215402713263,-113.1865292121432,0
-104.7337176983308,-111.85117946662108,-114.84876136333123,-118.00769189194627,-121.32922453630788,0
-113.5311080737458,-115.9980514209618,-118.5528804926936,-121.74684035779089,-124.19326199032346,0
-109.40982628877532,-113.166121744015,-117.11167402511111,-120.35082885997524,-123.1858387937339,0
-116.46981664777971,-118.78996905918315,-120.73430285158511,-123.70609959269859,-126.63856963672202,0
-116.1410432724559,-118.34379375251348,-120.49159944434841,-124.16577466454153,-126.7145070158557,0
-116.84300357194431,-119.05000550914845,-120.87285942953159,-123.86765286187374,-126.83324153339208,0
-113.93657542098875,-117.66249376083526,-121.27852928366961,-123.93104723960961,-126.72909399046465,0
-115.7937933570267,-118.42807736203747,-121.57334444848279,-124.1099262639681,-127.15614695166573,0
-108.0573941268102,-115.47666635563486,-119.65193022661673,-122.12947587037007,-123.55526518338056,0
-113.1822297040409,-116.10702063751543,-119.6057750059654,-121.3616760738825,-124.24089315428441,0
-116.50465499773041,-118.34100399211603,-121.65004164216158,-123.54575354099946,-125.87040684823403,0
-117.40198891319268,-119.25454227363448,-123.4411357820822,-124.7826960854699,-127.08189496046536,0
-116.98691726909755,-120.14037646165465,-124.14932724029129,-126.3089642095785,-127.9410748436293,0
-114.48722613192662,-119.53417025990782,-122.60746320106888,-125.28764566232108,-127.46508460349271,0
-118.99729746870278,-121.21259529135783,-123.65369517224157,-126.2507854767221,-128.35354410254033,0
-118.37933078007885,-120.92071202261688,-123.35969704895493,-126.12299535118915,-128.6243353978553,0
-119.5246051420951,-120.79127637226406,-124.48497200180215,-126.36359680743628,-128.70603943051523,0
-119.44288584547522,-120.95693187905057,-124.30596435322748,-127.34784897691429,-128.89056351577705,0
-118.72434320351245,-121.35662025581829,-124.67814490110972,-126.71480618359958,-129.07727204315216,0
-117.05136150813486,-120.61082067709764,-124.39925903600758,-125.89988127518218,-127.69168396782075,0
-118.78830414856183,-120.80318697469336,-123.8520316211377,-126.19424441036288,-128.6078399880706,0
-120.97518676181036,-121.92931696129338,-124.86110352374129,-127.56197015908342,-129.48130977556102,0
-120.53334719972324,-122.24513874743239,-125.34705463160587,-128.1613828849487,-129.91885056403711,0
-120.06671451149792,-121.61847466550621,-125.3297672520601,-127.30543924030711,-130.16813226317888,0
-120.70010022659437,-122.02175640077017,-125.27817026882487,-127.8494211583154,-129.99667021763238,0
-120.14956150299261,-120.66669156125084,-124.48671329120238,-127.64417524883063,-129.62172442227654,0
-120.05267232253237,-121.62256611071433,-125.76488842938521,-128.2510228704729,-130.2377157931134,0
-119.37948015983059,-122.91008911662696,-125.14531168665286,-127.29124116938446,-130.50785815545902,0
-121.52289954995987,-122.25711968231668,-126.60990236174234,-128.64742207757646,-130.8097539575495,0
-119.15718571000765,-122.29631893010679,-126.75430156967761,-129.4283272263824,-130.78190249650893,0
-121.26061132593826,-122.6453618145404,-125.88595435989285,-128.20077632669245,-130.9133802226708,0
-115.69980447035563,-121.07395632601444,-125.50272881090469,-127.80686976171171,-130.2354780575952,0
-121.40680659442155,-123.67672435966114,-126.69067608943739,-128.83003595791115,-131.02719872140327,0
-122.00171178299965,-123.66788050840105,-126.29944903027334,-128.6083035149347,-131.31502476776166,0
-117.04801244227258,-122.56023831494124,-125.85983738833396,-128.58018216757554,-130.90233731408895,0
-120.4196096353837,-123.02910410530559,-126.34244700558457,-128.6861366376817,-131.49756932691938,0
-123.11799962706189,-123.80996911669907,-126.8805264053404,-129.80087764947936,-131.8281569289002,0
-122.04055670043537,-123.56110003385034,-126.84600153384196,-129.161485122405,-131.25013261627626,0
-121.0156757542398,-121.47341670902192,-126.05683700231013,-129.92309433726606,-131.6718063860488,0
-119.91924720853144,-123.43363026101449,-127.72742873248305,-129.02205501027103,-131.72569043862143,0
-122.13205415038793,-123.98014720332723,-126.63937450807576,-129.6959880357412,-132.1741258105946,0
-122.91170243149045,-123.4364542385384,-127.8537091108724,-130.008363076097,-131.95479704204078,0
-122.38312084416927,-124.57498933586936,-126.68552442347197,-129.73557815607884,-131.89359003433836,0
-122.11053502904686,-123.45643747673536,-127.87412241901616,-130.07799882053223,-132.33156490268627,0
-117.31510561094818,-121.64790254692632,-126.95573250219059,-129.5736298929611,-132.26302683424265,0
-116.39023412583416,-121.84789742450388,-126.44757341721625,-129.4677935867254,-131.76192374903707,0
-123.18242076866935,-125.7316035592972,-128.74692691443462,-130.85814207608558,-133.4921082216833,0
-123.66919224282866,-125.35375721691364,-128.98482600962205,-130.54036859242288,-133.5857870197642,0
-123.98152066904959,-126.53020291538797,-129.5241071851684,-131.87131869968616,-133.6291166433906,0
-124.31747519101887,-125.3904847433857,-128.52373542249046,-131.57214690243367,-133.2877728319603,0
-122.65493345514743,-126.14959637568808,-129.9818120169299,-131.8971235409722,-133.94676500817215,1
-120.98931651729805,-123.88057237267779,-129.90563060232475,-132.7637231283111,-133.96539390165563,1
-123.65715413401739,-125.15145890191441,-130.06123859581461,-132.49799111735553,-134.12683082796963,1
-121.64842810603183,-123.66763354565126,-130.00689126565294,-132.69396182611666,-134.8607697621578,2
-125.75132213577068,-126.41036991896789,-131.6133894493316,-134.38984571610735,-135.70190471109743,2
-128.86308318170109,-129.2475694571642,-132.98022103242258,-134.99812488844557,-138.11900484131942,2
-127.46869406509776,-130.42762561010048,-134.17955861235689,-137.12802764317595,-137.6926274794542,2
-123.14788230864878,-126.6155470923498,-131.64162440607976,-134.03034064129977,-135.68757960768224,2
-122.38619987403402,-125.921947644687,-131.5709893174976,-133.67688746821736,-135.4825977680876,2
-122.4936812954158,-124.03553341552042,-130.81751608258713,-132.82456019323016,-134.26871791443784,2
-118.76395163085242,-121.13633629410698,-128.71021163950357,-130.6538699608462,-134.36612623101885,2
-119.86260832961192,-124.04950349581142,-129.30483533666245,-132.36779758386692,-134.39928471662236,2
-121.14679525225601,-124.50628133952142,-129.56467079445954,-132.7758737351925,-134.57735048983616,2
-119.41190432166626,-121.46584279180404,-127.52321053991189,-130.50676753612186,-133.8034741905897,2
-114.70073615077779,-121.0866111594182,-124.5130870041143,-128.0813651687386,-130.04883268751,2
-122.67496605898181,-127.52230521388464,-131.62560760624902,-134.08646070899493,-136.01427032850196,2
-122.79793177429022,-123.05280950856594,-128.19354624620402,-131.95983367323385,-134.28388834826595,2
-118.84155455102783,-120.80760607812259,-126.67457964634926,-129.2605644693924,-131.93984325780292,2
-119.10004315524753,-122.93279012548192,-127.51338757522602,-130.99909579755288,-133.64447266952064,2
-119.31590646475645,-122.58234244266852,-129.08006431245113,-131.2911669586573,-134.10148002872683,2
-118.83554119969337,-123.05067621921681,-128.92695419948672,-130.52324723634533,-133.6586118822338,2
-114.57674393907574,-119.13849324005194,-123.64186033243013,-125.6927819240803,-127.33816586665696,2
-114.02545374674645,-122.34216525982823,-125.9475422673475,-129.12865540517478,-131.3439392297118,1
-122.27507509462757,-125.74986213797034,-130.48395995360664,-132.83570869009696,-134.8547231068768,1
-123.12961767985436,-125.51538509301272,-128.69049222134518,-130.98194201116496,-133.8168952397991,1
-119.4585176351479,-122.45118234382055,-129.12704827508406,-131.3291370969896,-133.55282152904985,1
-119.3308221547006,-123.87149166880455,-129.21901583506,-130.90006942387402,-133.33652363284642,2
-118.55932044285177,-121.9026724677851,-125.96795662282986,-129.80041514256814,-133.12499735889747,2
-117.76995613118152,-122.15969113107923,-127.69956423779611,-130.29417650828697,-133.7557833799106,3
-116.68136433919825,-121.89894495143862,-127.48054902347062,-129.64226648593078,-133.37381109959037,3
-115.31206337156249,-120.19583370866697,-123.2715479059106,-125.59312756763353,-129.2450377189425,1
-118.91604763232078,-121.21856404882055,-129.13626763376007,-132.0136246065656,-134.49341121114747,2
-118.30279928811184,-122.62235456833467,-128.56886323230796,-130.5593793861634,-134.9696020887351,2
-114.54981799506471,-118.24856995851287,-123.61280008845773,-125.48600163892166,-127.58622799095907,2
-119.85674676787755,-124.30300050628544,-129.59202571152713,-132.66341739729066,-134.52204296381973,2
-118.06595051664921,-122.5614052460232,-126.61184663026462,-128.43988212924572,-132.89015553111864,2
-119.67495328808741,-122.11073152009932,-128.05569039698827,-129.62978882374168,-135.43765110415404,3
-119.87834014422715,-123.23667329710197,-128.62895645492216,-130.08289736836727,-134.8746425633436,3
-117.58728715730413,-121.43184785173716,-127.3089059871176,-130.0356039962967,-134.27729772482175,3
-116.49333371813672,-120.67769629502578,-125.02570191127155,-127.65468292185415,-132.38995264096218,2
-123.32934410794715,-124.21733207351578,-128.89089695086477,-131.40038128375602,-134.0359059055595,1
-119.1325426504987,-120.73359055142376,-127.23231243436685,-130.8934307291283,-134.36704419753377,2
-119.34760297671257,-122.75038709833869,-127.7902562758196,-129.89701317378302,-135.22851903559936,2
-119.8448495641592,-122.74467764370812,-124.74802369382897,-128.5345361986005,-132.2464128257467,2
-111.36166999203209,-118.95987806509211,-122.4986929461398,-125.61504407472145,-126.61832745193358,0
-122.25029693891312,-124.32315773536803,-125.8857060080824,-130.327398413888,-132.26375531572123,0
-120.20269242103802,-123.51217167008275,-126.28950274490751,-129.40912508648412,-131.94097015405507,0
-120.52494054586619,-123.77268238345178,-127.00616613543659,-130.0557608630937,-132.34568574161105,0
-123.42362144942516,-123.62480913809064,-127.89337576758618,-130.61760857154044,-132.5049711266943,1
-120.02489408147062,-119.42539877825061,-125.9395739641289,-128.26062220550796,-131.90687623139033,1
